MARITAL_STATUS,EDUCATION_LEVEL,RESIDENTAL_STATUS,LOAN_AMOUNT,INCOME,GENDER,NUMBER_OF_PRIOR_LOANS,AGE,TENURE,PRESENT_EMPLOYMENT_SINCE,FAMILY_SIZE,OCCUPATION,Home_Loan_Approval_Prediction
Single,Primary School Grad,,35000.0,500.0,Male,1.0,34.0,57.0,Less Than Seven Years,4.0,Worker,0
Divorced,Master's Degree,Tenant,20000.0,2750.0,Female,3.0,67.0,1.0,More Than Seven Years,2.0,Manager,0
Single,Primary School Grad,Family Home,100000.0,500.0,Male,3.0,31.0,39.0,Less Than Four Years,3.0,Clerical,0
Single,Bachelor's Degree,Owner,25000.0,6250.0,Female,2.0,56.0,36.0,Unemployed,2.0,Manager,1
Married,Bachelor's Degree,Tenant,30000.0,2750.0,Female,3.0,47.0,6.0,Less Than Seven Years,4.0,Worker,0
Married,Bachelor's Degree,Owner,15000.0,4250.0,Male,1.0,58.0,32.0,Less Than Seven Years,3.0,Professional,1
Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,0.0,65.0,19.0,Less Than Four Years,4.0,Manager,0
Married,Bachelor's Degree,Tenant,45000.0,2750.0,Female,3.0,60.0,7.0,Unemployed,4.0,Manager,0
Single,Master's Degree,Tenant,55000.0,3750.0,Male,3.0,64.0,12.0,Less Than Four Years,4.0,Manager,0
Married,Bachelor's Degree,Tenant,55000.0,2750.0,Male,2.0,50.0,10.0,Less Than Four Years,5.0,Manager,0
Single,Bachelor's Degree,Owner,15000.0,5250.0,Male,0.0,19.0,37.0,Less Than Seven Years,3.0,Professional,1
Married,Bachelor's Degree,Tenant,55000.0,2150.0,Male,0.0,31.0,36.0,Less Than Four Years,4.0,Clerical,0
Married,Bachelor's Degree,Tenant,15000.0,4250.0,Female,3.0,29.0,5.0,Unemployed,5.0,Professional,0
,Bachelor's Degree,Owner,40000.0,6250.0,Female,1.0,22.0,34.0,More Than Seven Years,3.0,Manager,1
Married,Bachelor's Degree,Owner,40000.0,4250.0,Male,0.0,71.0,1.0,Less Than Seven Years,2.0,Manager,1
Single,Master's Degree,Tenant,20000.0,,Male,1.0,24.0,9.0,Less Than One Year,3.0,Clerical,0
Single,Master's Degree,Tenant,10000.0,2750.0,Male,2.0,51.0,3.0,Less Than Four Years,2.0,Technician,0
Married,Bachelor's Degree,Owner,40000.0,5250.0,Female,0.0,55.0,28.0,Less Than Four Years,4.0,Manager,0
Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,1.0,70.0,12.0,Unemployed,4.0,Manager,0
Single,Primary School Grad,Family Home,30000.0,500.0,Male,1.0,28.0,74.0,Less Than One Year,2.0,Professional,0
Single,Bachelor's Degree,Tenant,25000.0,2750.0,Male,0.0,18.0,6.0,Less Than Four Years,4.0,Farmer,0
Married,Master's Degree,Tenant,55000.0,2150.0,Male,1.0,27.0,5.0,Less Than Seven Years,3.0,Technician,0
Married,Bachelor's Degree,Tenant,25000.0,4250.0,Male,0.0,25.0,11.0,Unemployed,4.0,Manager,0
Divorced,Doctorate Degree,Tenant,30000.0,3750.0,Female,0.0,27.0,24.0,Less Than One Year,3.0,Manager,0
Single,Master's Degree,Tenant,45000.0,2750.0,Male,0.0,19.0,7.0,Unemployed,3.0,Farmer,0
Married,Bachelor's Degree,Owner,20000.0,6250.0,Female,2.0,63.0,19.0,Less Than Seven Years,5.0,Professional,1
Single,Bachelor's Degree,Tenant,10000.0,4250.0,Female,1.0,42.0,82.0,Less Than Seven Years,,Manager,1
Single,Bachelor's Degree,Owner,40000.0,5250.0,Female,3.0,56.0,14.0,Unemployed,3.0,,1
Single,Bachelor's Degree,Tenant,30000.0,2150.0,Male,3.0,33.0,1.0,Less Than Four Years,7.0,Worker,0
Divorced,Bachelor's Degree,Tenant,20000.0,2150.0,Female,1.0,60.0,41.0,Less Than Seven Years,6.0,Clerical,0
Married,Primary School Grad,Tenant,15000.0,500.0,Male,2.0,53.0,16.0,More Than Seven Years,5.0,Technician,0
Divorced,Primary School Grad,Family Home,55000.0,500.0,Male,0.0,23.0,15.0,Unemployed,4.0,Manager,0
Married,Bachelor's Degree,Owner,20000.0,5250.0,Male,2.0,62.0,17.0,Less Than One Year,3.0,Manager,1
Married,Master's Degree,Tenant,80000.0,3750.0,Male,0.0,30.0,8.0,More Than Seven Years,4.0,Technician,0
Married,Bachelor's Degree,Owner,40000.0,6250.0,Female,1.0,62.0,6.0,Less Than Four Years,4.0,Professional,1
Married,Bachelor's Degree,Owner,20000.0,6250.0,Female,3.0,19.0,12.0,Less Than Seven Years,4.0,Manager,1
Single,Bachelor's Degree,Tenant,10000.0,2150.0,Female,2.0,40.0,18.0,More Than Seven Years,5.0,Manager,0
Married,Primary School Grad,Tenant,25000.0,500.0,Female,1.0,45.0,,Unemployed,3.0,Manager,0
Married,Bachelor's Degree,Tenant,20000.0,4250.0,Male,3.0,42.0,39.0,More Than Seven Years,4.0,Professional,1
Married,Bachelor's Degree,Owner,20000.0,6250.0,Female,1.0,54.0,9.0,Unemployed,4.0,Professional,0
Married,Primary School Grad,Tenant,15000.0,500.0,Female,0.0,67.0,14.0,Unemployed,6.0,Manager,0
Single,Bachelor's Degree,Owner,45000.0,4250.0,Male,2.0,37.0,5.0,Less Than Seven Years,3.0,Professional,1
Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,0.0,19.0,10.0,More Than Seven Years,7.0,Army,0
Married,Master's Degree,Tenant,95000.0,2750.0,Male,3.0,69.0,57.0,More Than Seven Years,2.0,Farmer,0
Married,Bachelor's Degree,Tenant,55000.0,2750.0,Female,2.0,22.0,8.0,Unemployed,6.0,Farmer,0
Single,Master's Degree,Tenant,15000.0,2750.0,Female,2.0,38.0,34.0,Less Than One Year,2.0,Manager,0
Divorced,Master's Degree,Tenant,25000.0,2750.0,Male,2.0,41.0,44.0,Less Than Seven Years,2.0,Technician,0
Single,Doctorate Degree,Owner,50000.0,3750.0,Female,1.0,52.0,13.0,Less Than Seven Years,3.0,Manager,1
Married,Doctorate Degree,Owner,,3750.0,Female,1.0,48.0,8.0,Less Than Four Years,3.0,Professional,0
Divorced,Bachelor's Degree,Tenant,15000.0,2150.0,Female,3.0,48.0,94.0,Less Than Seven Years,5.0,Army,0
Married,Bachelor's Degree,Owner,10000.0,5250.0,Female,3.0,50.0,25.0,Less Than Four Years,7.0,Professional,0
Divorced,Master's Degree,Tenant,10000.0,2150.0,Female,2.0,24.0,4.0,Unemployed,2.0,Manager,0
Married,Bachelor's Degree,Owner,25000.0,5250.0,Female,2.0,53.0,4.0,More Than Seven Years,4.0,Manager,1
Married,Bachelor's Degree,Tenant,40000.0,2750.0,Female,2.0,36.0,88.0,Less Than Four Years,6.0,Clerical,0
Married,Doctorate Degree,Tenant,50000.0,3750.0,Male,1.0,34.0,26.0,Less Than Four Years,2.0,Professional,1
Single,Bachelor's Degree,Owner,25000.0,5250.0,Male,3.0,49.0,30.0,Less Than One Year,4.0,Manager,0
Single,Master's Degree,Tenant,40000.0,3750.0,Male,3.0,61.0,14.0,Less Than One Year,4.0,Manager,0
